step,reward,eval_type,seed
250112,206.9,pi,3
250112,147.7,mppi,3
500224,445.0,pi,3
500224,488.0,mppi,3
750080,500.4,pi,3
750080,515.4,mppi,3
1000192,508.4,pi,3
1000192,526.0,mppi,3
1250048,486.8,pi,3
1250048,514.9,mppi,3
1500160,504.7,pi,3
1500160,521.7,mppi,3
1750016,484.3,pi,3
1750016,505.6,mppi,3
2000128,405.3,pi,3
2000128,508.7,mppi,3
2250240,514.8,pi,3
2250240,529.8,mppi,3
2500096,520.0,pi,3
2500096,536.3,mppi,3
2750208,523.1,pi,3
2750208,530.3,mppi,3
3000064,508.5,pi,3
3000064,523.3,mppi,3
3250176,519.5,pi,3
3250176,530.3,mppi,3
3500032,516.0,pi,3
3500032,535.6,mppi,3
3750144,509.7,pi,3
3750144,530.9,mppi,3
4000000,521.3,pi,3
4000000,542.2,mppi,3
4250112,511.5,pi,3
4250112,531.8,mppi,3
4500224,525.9,pi,3
4500224,541.8,mppi,3
4750080,514.5,pi,3
4750080,528.7,mppi,3
5000192,520.8,pi,3
5000192,544.1,mppi,3
5250048,521.7,pi,3
5250048,545.9,mppi,3
5500160,530.6,pi,3
5500160,548.3,mppi,3
5750016,523.8,pi,3
5750016,537.1,mppi,3
6000128,523.1,pi,3
6000128,537.9,mppi,3
6250240,531.7,pi,3
6250240,538.8,mppi,3
6500096,523.5,pi,3
6500096,542.1,mppi,3
6750208,534.0,pi,3
6750208,556.3,mppi,3
7000064,526.5,pi,3
7000064,481.6,mppi,3
7250176,516.0,pi,3
7250176,532.2,mppi,3
7500032,520.1,pi,3
7500032,540.8,mppi,3
7750144,527.1,pi,3
7750144,544.6,mppi,3
8000000,538.9,pi,3
8000000,547.2,mppi,3
8250112,551.0,pi,3
8250112,556.7,mppi,3
8500224,541.8,pi,3
8500224,547.0,mppi,3
8750080,545.7,pi,3
8750080,553.4,mppi,3
9000192,540.5,pi,3
9000192,488.4,mppi,3
9250048,515.6,pi,3
9250048,545.1,mppi,3
9500160,524.9,pi,3
9500160,545.1,mppi,3
9750016,530.8,pi,3
9750016,547.8,mppi,3
10000128,528.9,pi,3
10000128,478.5,mppi,3
